name,ring,quadrant,isNew,description
MyBatis,Adopt,Languages & frameworks,TRUE,<p>Mature and flexible object-relational mapping framework for Java with minimal boilerplate code - <a href='https://mybatis.org/mybatis-3/getting-started.html'>docs</a></p>     
JobRunner,Adopt,Languages & frameworks,TRUE,<p>Simple and lightweight library for running background jobs and tasks in Spring Boot applications - <a href='https://github.com/jobrunr/jobrunr/wiki'>docs</a></p>
Spring Boot Admin,Adopt,Languages & frameworks,TRUE,<p>Convenient admin interface to monitor and manage Spring Boot applications in production environments - <a href='https://github.com/codecentric/spring-boot-admin'>docs</a></p>
Kubernetes,Adopt,Platforms,FALSE,<p>Leading open source container orchestration platform providing automation for deployment scaling and management of containerized apps - <a href='https://kubernetes.io/docs/home/'>docs</a></p>  
Helm 3,Trial,Tools,FALSE,<p>Kubernetes package manager that helps define install and upgrade complex apps spanning multiple Kubernetes manifests - <a href='https://helm.sh/docs/'>docs</a></p>
Jenkins,Hold,Tools,FALSE,<p>Legacy self-hosted automation server used for CI/CD pipelines but increasingly being replaced by modern options - <a href='https://www.jenkins.io/doc/'>docs</a></p>
Undertow,Adopt,Tools,TRUE,<p>Performant and lightweight web server developed as part of WildFly providing non-blocking IO and low resource usage - <a href='https://undertow.io/documentation.html'>docs</a></p>
Elastic APM,Adopt,Tools,TRUE,<p>APM and tracing solution from Elastic providing application performance monitoring and robust telemetry data - <a href='https://www.elastic.co/guide/en/apm/get-started/'>docs</a></p>
Docker,Adopt,Tools,FALSE,<p>Industry standard container platform that revolutionized software delivery by enabling packaging of apps with dependencies into portable images - <a href='https://docs.docker.com/'>docs</a></p>
Kibana,Adopt,Tools,FALSE,<p>Data visualization and exploration tool for the Elastic stack that allows creating rich interactive dashboards - <a href='https://www.elastic.co/guide/en/kibana/current/introduction.html'>docs</a></p>   
Swagger,Adopt,Tools,FALSE,<p>Widely used framework for defining and documenting RESTful APIs in a portable human and machine readable format - <a href='https://swagger.io/docs/'>docs</a></p>
Grafana,Adopt,Tools,FALSE,<p>Leading open source data visualization and monitoring solution packed with powerful graphing and dashboarding capabilities - <a href='https://grafana.com/docs/'>docs</a></p>    
GitLab,Adopt,Platforms,FALSE,<p>Fully featured DevOps platform providing source code management CI/CD monitoring and many other tools integrated into a single application - <a href='https://docs.gitlab.com/'>docs</a></p>
GitLab CI,Adopt,Tools,FALSE,<p>Continuous integration and delivery service built into GitLab for automating the software development process - <a href='https://docs.gitlab.com/ee/ci/'>docs</a></p>
Artifactory,Adopt,Tools,FALSE,<p>Enterprise-ready artifact management system for hosting Maven/NPM packages Docker images and other binaries - <a href='https://www.jfrog.com/confluence/display/JFROG/Artifactory+Documentation'>docs</a></p>     
Atlassian Confluence,Adopt,Platforms,FALSE,<p>Popular team collaboration software from Atlassian for creating technical documentation and knowledge management - <a href='https://confluence.atlassian.com/doc/confluence-documentation-home-3296.html'>docs</a></p>
Atlassian Jira,Adopt,Platforms,FALSE,<p>Industry leading project and issue tracking software from Atlassian with advanced workflows and automation - <a href='https://confluence.atlassian.com/jiracoreserver'>docs</a></p>
SonarQube,Adopt,Tools,TRUE,<p>Leading open source static code analysis platform to perform automated reviews and enforce quality standards - <a href='https://docs.sonarqube.org/latest/'>docs</a></p>
