name;ring;quadrant;isNew;description;
ShedLock;Adopt;Languages & frameworks;FALSE;<p>Convenient distributed locking library for Java that prevents redundant job execution in clustered environments - <a href='https://javadoc.io/doc/net.javacrumbs.shedlock/shedlock-parent/4.38.1'>docs</a></p>;5
OkHttp;Adopt;Languages & frameworks;FALSE;<p>OkHttp is an HTTP client that's efficient by default. - <a href='https://square.github.io/okhttp/'>docs</a></p>;5
Jackson;Adopt;Languages & frameworks;FALSE;<p>Jackson is a suite of data-processing tools for Java (and the JVM platform), including the flagship streaming JSON parser / generator library. - <a href='https://github.com/FasterXML/jackson'>docs</a></p>;5
Feign;Adopt;Languages & frameworks;FALSE;<p>Feign uses tools like Jersey and CXF to write Java clients for ReST or SOAP services. - <a href='https://github.com/OpenFeign/feign'>docs</a></p>;5
Wiremock;Adopt;Languages & frameworks;FALSE;<p>WireMock is a popular open-source tool for API mock testing with over 5 million downloads per month. - <a href='https://github.com/wiremock/wiremock'>docs</a></p>;4
Spotless;Adopt;Languages & frameworks;FALSE;<p>Keep your code spotless. A code formatter. - <a href='https://github.com/diffplug/spotless'>docs</a></p>;4
Protobuf;Adopt;Languages & frameworks;TRUE;<p>Protocol Buffers are language-neutral, platform-neutral extensible mechanisms for serializing structured data. - <a href='https://protobuf.dev/'>docs</a></p>;4
Logstash;Adopt;Languages & frameworks;FALSE;<p>Versatile log aggregation tool that allows ingesting transforming and routing log data from diverse sources - <a href='https://www.elastic.co/guide/en/logstash/current/getting-started-with-logstash.html'>docs</a></p>;4
JobRunr;Adopt;Languages & frameworks;FALSE;<p>Simple and lightweight library for running background jobs and tasks in Spring Boot applications - <a href='https://github.com/jobrunr/jobrunr/wiki'>docs</a></p>;4
Java 17;Adopt;Languages & frameworks;FALSE;<p>Popular secure object oriented programming language for building robust cross platform applications - <a href='https://docs.oracle.com/en/java/javase/17/'>docs</a></p>;4
JOOQ;Adopt;Languages & frameworks;FALSE;<p>Allows writing SQL/JPQL queries directly in Java code while avoiding SQL injection risks and faulty string concatenation - <a href='https://www.jooq.org/doc/'>docs</a></p>;4
Spring Boot Admin;Adopt;Languages & frameworks;FALSE;<p>Convenient admin interface to monitor and manage Spring Boot applications in production environments - <a href='https://github.com/codecentric/spring-boot-admin'>docs</a></p>;3
Solr;Adopt;Platforms;FALSE;<p>Mature major version of Apache Solr providing versatile text search functionality over large data sets - <a href='https://solr.apache.org/guide/7_7/'>docs</a></p>;3
Mockito;Adopt;Languages & frameworks;FALSE;<p>Leading mocking framework for Java with an intuitive API and wide range of matchers and verification options - <a href='https://site.mockito.org/'>docs</a></p>;3
MapStruct;Adopt;Languages & frameworks;FALSE;<p>MapStruct is a code generator that greatly simplifies the implementation of mappings between Java bean types based on a convention over configuration approach. - <a href='https://mapstruct.org/'>docs</a></p>;3
Logback;Adopt;Languages & frameworks;FALSE;<p>Logback is one of the most widely used logging frameworks in the Java Community. It's a replacement for its predecessor, Log4j. - <a href='https://logback.qos.ch/'>docs</a></p>;3
Java 21;Adopt;Languages & frameworks;TRUE;<p>Popular secure object oriented programming language for building robust cross platform applications - <a href='https://docs.oracle.com/en/java/javase/21/'>docs</a></p>;3
Jacoco;Adopt;Languages & frameworks;FALSE;<p>JaCoCo is a free code coverage library for Java, which has been created by the EclEmma team based on the lessons learned from using and integrating existing libraries for many years. - <a href='https://www.eclemma.org/jacoco/'>docs</a></p>;3
Caffeine;Adopt;Languages & frameworks;FALSE;<p>Caffeine — a high-performance caching library for Java. - <a href='https://github.com/ben-manes/caffeine'>docs</a></p>;3
Spring Security;Adopt;Languages & frameworks;FALSE;<p>Spring Security is a powerful and highly customizable authentication and access-control framework. - <a href='https://spring.io/projects/spring-security'>docs</a></p>;2
Spring Cloud;Adopt;Languages & frameworks;FALSE;<p>Spring Cloud provides tools for developers to quickly build some of the common patterns in distributed systems - <a href='https://spring.io/projects/spring-cloud'>docs</a></p>;2
REST over HTTP with JSON;Adopt;Languages & frameworks;FALSE;<p>RestClient can convert JSON to objects, using the Jackson library.  - <a href='https://docs.spring.io/spring-framework/reference/integration/rest-clients.html'>docs</a></p>;2
MockK;Adopt;Languages & frameworks;FALSE;<p>Provides DSL to mock behavior. Built from zero to fit Kotlin language. Supports named parameters, object mocks, coroutines and extension function mocking. - <a href='https://mockk.io/'>docs</a></p>;2
Kryo;Adopt;Languages & frameworks;FALSE;<p>Kryo is a fast and efficient binary object graph serialization framework for Java. - <a href='https://github.com/EsotericSoftware/kryo'>docs</a></p>;2
Kotlin Coroutines;Adopt;Languages & frameworks;FALSE;<p>More idiomatic way of writing async code in Kotlin compared to callbacks or CompletableFuture - <a href='https://kotlinlang.org/docs/coroutines-overview.html'>docs</a></p>     ;2
Java 8;Hold;Languages & frameworks;FALSE;<p>Legacy version of Java once widely used but now outdated and reaching end of public support - <a href='https://docs.oracle.com/javase/8/docs/'>docs</a></p>;2
Hibernate;Hold;Languages & frameworks;FALSE;<p>Mature but complex object-relational mapping framework for Java with extensive capabilities - <a href='https://hibernate.org/orm/documentation/'>docs</a></p>     ;2
mysql;Adopt;Platforms;FALSE;<p>Legacy open source relational database still used in many organizations but increasingly replaced by more modern options - <a href='https://dev.mysql.com/doc/'>docs</a></p>;1
jgitver;Adopt;Tools;FALSE;<p>The goal of jgitver is to provide a standardized way, via a library, to calculate a project semver compatible version from a git repository - <a href='https://github.com/jgitver/jgitver'>docs</a></p>;1
Zxing;Adopt;Languages & frameworks;FALSE;<p>Decode a 1D or 2D barcode from an image on the web. - <a href='https://zxing.org/w/decode.jspx'>docs</a></p>;1
WireMock;Adopt;Languages & frameworks;FALSE;<p>WireMock is a tool for building mock APIs - <a href='https://wiremock.org/'>docs</a></p>;1
WebClient;Adopt;Languages & frameworks;FALSE;<p>WebClient is an interface representing the main entry point for performing web requests. - <a href='https://docs.spring.io/spring-framework/reference/web/webflux-webclient.html'>docs</a></p>;1
SpringDoc;Adopt;Languages & frameworks;FALSE;<p>Springdoc-openapi java library helps to automate the generation of API documentation using spring boot projects. - <a href='http://springdoc.org/'>docs</a></p>;1
Spring WebFlux;Adopt;Languages & frameworks;FALSE;<p>Spring includes Spring WebFlux, which provides reactive programming support for web applications.  - <a href='https://docs.spring.io/spring-framework/reference/web/webflux.html'>docs</a></p>;1
Spring Web;Adopt;Languages & frameworks;FALSE;<p>Spring Boot is well suited for web application development. - <a href='https://docs.spring.io/spring-boot/reference/web/index.html'>docs</a></p>;1
Spring Kafka;Adopt;Languages & frameworks;FALSE;<p>The Spring for Apache Kafka (spring-kafka) project applies core Spring concepts to the development of Kafka-based messaging solutions. - <a href='https://spring.io/projects/spring-kafka'>docs</a></p>;1
Spring Data JDBC;Adopt;Languages & frameworks;FALSE;<p>Spring Data JDBC, part of the larger Spring Data family, makes it easy to implement JDBC based repositories. - <a href='https://spring.io/projects/spring-data-jdbc'>docs</a></p>;1
Spring Boot State Machine;Adopt;Languages & frameworks;FALSE;<p>Spring Statemachine is a framework for application developers to use state machine concepts with Spring applications. - <a href='https://spring.io/projects/spring-statemachine'>docs</a></p>;1
Spring Actuator;Adopt;Languages & frameworks;FALSE;<p>Actuator brings production-ready features to our application. Monitoring our app, gathering metrics, and understanding traffic or the state of our database - <a href='https://www.baeldung.com/spring-boot-actuators'>docs</a></p>;1
Spring AOP;Adopt;Languages & frameworks;FALSE;<p>Spring provides simple and powerful ways of writing custom aspects by using either a schema-based approach or the @AspectJ annotation style. - <a href='https://docs.spring.io/spring-framework/reference/core/aop.html'>docs</a></p>;1
RestAssured;Adopt;Languages & frameworks;FALSE;<p>Java DSL for simplified testing of REST based services allowing easy specification and validation of requests and responses - <a href='https://github.com/rest-assured/rest-assured/wiki/Usage'>docs</a></p>;1
RabbitMQ;Adopt;Platforms;FALSE;<p>RabbitMQ is a reliable and mature messaging and streaming broker, which is easy to deploy on cloud environments, on-premises, and on your local machine. - <a href='https://www.rabbitmq.com/'>docs</a></p>;1
PostGIS;Adopt;Languages & frameworks;FALSE;<p>PostGIS extends the capabilities of the PostgreSQL relational database by adding support for storing, indexing, and querying geospatial data. - <a href='https://postgis.net/'>docs</a></p>;1
Netty;Adopt;Languages & frameworks;FALSE;<p>Netty is an NIO client server framework which enables quick and easy development of network applications such as protocol servers and clients. - <a href='https://netty.io/'>docs</a></p>;1
MyBatis;Adopt;Languages & frameworks;FALSE;<p>Mature and flexible object-relational mapping framework for Java with minimal boilerplate code - <a href='https://mybatis.org/mybatis-3/getting-started.html'>docs</a></p>;1
MockServer;Adopt;Languages & frameworks;FALSE;<p>MockServer enables easy mocking of any system you integrate with via HTTP or HTTPS. - <a href='https://www.mock-server.com/'>docs</a></p>;1
Maven;Adopt;Tools;FALSE;<p>Mature and widely adopted build automation tool for Java projects with dependency management capabilities - <a href='https://maven.apache.org/guides/'>docs</a></p>;1
MariaDB;Adopt;Platforms;FALSE;<p>MariaDB Server is one of the most popular open source relational databases. - <a href='https://mariadb.org/'>docs</a></p>;1
Ktor Client;Adopt;Languages & frameworks;FALSE;<p>Ktor is a framework for building asynchronous server-side and client-side applications with ease. - <a href='https://ktor.io/docs/welcome.html'>docs</a></p>;1
Jooq;Adopt;Languages & frameworks;FALSE;<p>jOOQ is an internal DSL and source code generator, modelling the SQL language as a type safe Java API to help you write better SQL. - <a href='https://github.com/jOOQ/jOOQ'>docs</a></p>;1
Jakarta;Adopt;Languages & frameworks;FALSE;<p>Jakarta Enterprise Edition (EE) is the open source future of cloud native enterprise Java. - <a href='https://jakarta.ee/'>docs</a></p>;1
JMH;Adopt;Languages & frameworks;FALSE;<p>JMH is a Java harness for building, running, and analysing nano/micro/milli/macro benchmarks written in Java and other languages targeting the JVM. - <a href='https://github.com/openjdk/jmh'>docs</a></p>;1
FastExcel;Adopt;Languages & frameworks;FALSE;<p>Generate and read big Excel files quickly. - <a href='https://github.com/dhatim/fastexcel'>docs</a></p>;1
Bucket4j;Adopt;Languages & frameworks;FALSE;<p>Bucket4j is a Java rate-limiting library that is mainly based on the token-bucket algorithm, which is by the de-facto standard for rate-limiting in the IT industry. - <a href='https://bucket4j.com/8.14.0/toc.html'>docs</a></p>;1
Awaitility;Adopt;Languages & frameworks;FALSE;<p>Awaitility is a DSL that allows you to express expectations of an asynchronous system in a concise and easy to read manner. - <a href='http://www.awaitility.org/'>docs</a></p>;1
Armeria;Adopt;Languages & frameworks;FALSE;<p>Build any type of microservice leveraging your favorite technologies, including gRPC, Thrift, Kotlin, Retrofit, Reactive Streams, Spring Boot and Dropwizard. - <a href='https://armeria.dev/'>docs</a></p>;1
ArchUnit;Adopt;Languages & frameworks;FALSE;<p>ArchUnit is a free, simple and extensible library for checking the architecture of your Java code using any plain Java unit test framework. - <a href='https://www.archunit.org/'>docs</a></p>;1
Apache POI;Adopt;Languages & frameworks;FALSE;<p>Create and maintain Java APIs for manipulating various file formats based upon the Office Open XML standards (OOXML) and Microsoft's OLE 2 Compound Document format (OLE2). - <a href='https://poi.apache.org/'>docs</a></p>;1
Apache HttpClient;Adopt;Languages & frameworks;FALSE;<p>The Apache HttpComponents project is responsible for creating and maintaining a toolset of low level Java components focused on HTTP and associated protocols. - <a href='https://hc.apache.org/index.html'>docs</a></p>;1
